userId,rating,title,movieId,genres
u_1,5.0,Seven (a.k.a. Se7en),807,Mystery|Thriller
u_1,5.0,Star Wars: Episode IV - A New Hope,11,Action|Adventure|Sci-Fi
u_1,5.0,Star Wars: Episode IV - A New Hope,10,Action|Adventure|Sci-Fi
u_1,4.0,"Mask, The",832,Action|Comedy|Crime|Fantasy
u_1,3.0,Mrs. Doubtfire,832,Comedy|Drama
u_1,4.0,Batman,4116,Action|Crime|Thriller
u_1,4.0,"Silence of the Lambs, The",170339,Crime|Horror|Thriller
u_1,4.0,"Silence of the Lambs, The",55207,Crime|Horror|Thriller
u_1,3.0,Mission: Impossible,832,Action|Adventure|Mystery|Thriller
u_1,3.0,Independence Day (a.k.a. ID4),120880,Action|Adventure|Sci-Fi|Thriller
u_1,5.0,Willy Wonka & the Chocolate Factory,252,Children|Comedy|Fantasy|Musical
u_1,5.0,Monty Python and the Holy Grail,832,Adventure|Comedy|Fantasy
u_1,5.0,Star Wars: Episode V - The Empire Strikes Back,11,Action|Adventure|Sci-Fi
u_1,5.0,Star Wars: Episode V - The Empire Strikes Back,10,Action|Adventure|Sci-Fi
u_1,5.0,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),114707,Action|Adventure
u_1,5.0,Star Wars: Episode VI - Return of the Jedi,11,Action|Adventure|Sci-Fi
u_1,5.0,Star Wars: Episode VI - Return of the Jedi,10,Action|Adventure|Sci-Fi
u_1,5.0,Indiana Jones and the Last Crusade,120880,Action|Adventure
u_1,3.0,Men in Black (a.k.a. MIB),832,Action|Comedy|Sci-Fi
u_1,3.0,I Know What You Did Last Summer,120880,Horror|Mystery|Thriller
u_1,5.0,"Matrix, The",64957,Action|Sci-Fi|Thriller
u_1,5.0,"Matrix, The",832,Action|Sci-Fi|Thriller
u_1,4.0,Star Wars: Episode I - The Phantom Menace,11,Action|Adventure|Sci-Fi
u_1,4.0,Star Wars: Episode I - The Phantom Menace,10,Action|Adventure|Sci-Fi
u_1,4.0,"13th Warrior, The",185133,Action|Adventure|Fantasy
u_1,5.0,"Messenger: The Story of Joan of Arc, The",832,Drama|War
u_1,4.0,"Man with the Golden Gun, The",832,Action|Adventure|Thriller
u_1,5.0,X-Men,45375,Action|Adventure|Sci-Fi
u_2,4.0,Inception,120880,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
u_4,2.0,Seven (a.k.a. Se7en),807,Mystery|Thriller
u_4,5.0,Star Wars: Episode IV - A New Hope,11,Action|Adventure|Sci-Fi
u_4,5.0,Star Wars: Episode IV - A New Hope,10,Action|Adventure|Sci-Fi
u_4,4.0,Aladdin,9807,Adventure|Animation|Children|Comedy|Musical
u_4,5.0,"Silence of the Lambs, The",170339,Crime|Horror|Thriller
u_4,5.0,"Silence of the Lambs, The",55207,Crime|Horror|Thriller
u_4,3.0,Beauty and the Beast,102853,Animation|Children|Fantasy|Musical|Romance|IMAX
u_4,3.0,Beauty and the Beast,76626,Animation|Children|Fantasy|Musical|Romance|IMAX
u_4,3.0,Beauty and the Beast,50408,Animation|Children|Fantasy|Musical|Romance|IMAX
u_4,3.0,Beauty and the Beast,21410,Animation|Children|Fantasy|Musical|Romance|IMAX
u_4,3.0,Beauty and the Beast,648,Animation|Children|Fantasy|Musical|Romance|IMAX
u_4,3.0,Mission: Impossible,832,Action|Adventure|Mystery|Thriller
u_4,4.0,Willy Wonka & the Chocolate Factory,252,Children|Comedy|Fantasy|Musical
u_4,5.0,Monty Python and the Holy Grail,832,Adventure|Comedy|Fantasy
u_4,5.0,Star Wars: Episode V - The Empire Strikes Back,11,Action|Adventure|Sci-Fi
u_4,5.0,Star Wars: Episode V - The Empire Strikes Back,10,Action|Adventure|Sci-Fi
u_4,3.0,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),114707,Action|Adventure
u_4,4.0,Indiana Jones and the Last Crusade,120880,Action|Adventure
u_4,3.0,Men in Black (a.k.a. MIB),832,Action|Comedy|Sci-Fi
u_4,1.0,"Matrix, The",64957,Action|Sci-Fi|Thriller
u_4,1.0,"Matrix, The",832,Action|Sci-Fi|Thriller
u_4,1.0,Star Wars: Episode I - The Phantom Menace,11,Action|Adventure|Sci-Fi
u_4,1.0,Star Wars: Episode I - The Phantom Menace,10,Action|Adventure|Sci-Fi
u_4,2.0,Memento,832,Mystery|Thriller
u_5,3.0,Batman Forever,4116,Action|Adventure|Comedy|Crime
u_5,4.0,"Mask, The",832,Action|Comedy|Crime|Fantasy
u_5,4.0,Aladdin,9807,Adventure|Animation|Children|Comedy|Musical
u_5,3.0,Batman,4116,Action|Crime|Thriller
u_5,5.0,Beauty and the Beast,102853,Animation|Children|Fantasy|Musical|Romance|IMAX
u_5,5.0,Beauty and the Beast,76626,Animation|Children|Fantasy|Musical|Romance|IMAX
u_5,5.0,Beauty and the Beast,50408,Animation|Children|Fantasy|Musical|Romance|IMAX
u_5,5.0,Beauty and the Beast,21410,Animation|Children|Fantasy|Musical|Romance|IMAX
u_5,5.0,Beauty and the Beast,648,Animation|Children|Fantasy|Musical|Romance|IMAX
u_6,4.0,Jumanji,65974,Adventure|Children|Fantasy
u_6,4.0,Seven (a.k.a. Se7en),807,Mystery|Thriller
u_6,4.0,Broken Arrow,76340,Action|Adventure|Thriller
u_6,3.0,Batman Forever,4116,Action|Adventure|Comedy|Crime
u_6,4.0,Star Trek: Generations,193,Adventure|Drama|Sci-Fi
u_6,4.0,While You Were Sleeping,183473,Comedy|Romance
u_6,4.0,"Mask, The",832,Action|Comedy|Crime|Fantasy
u_6,4.0,Naked Gun 33 1/3: The Final Insult,1740,Action|Comedy
u_6,4.0,Naked Gun 33 1/3: The Final Insult,722,Action|Comedy
u_6,5.0,Speed,39792,Action|Romance|Thriller
u_6,3.0,I'll Do Anything,120880,Comedy|Drama
u_6,5.0,Mrs. Doubtfire,832,Comedy|Drama
u_6,3.0,North,19477,Comedy
u_6,5.0,Aladdin,9807,Adventure|Animation|Children|Comedy|Musical
u_6,3.0,Batman,4116,Action|Crime|Thriller
u_6,4.0,"Silence of the Lambs, The",170339,Crime|Horror|Thriller
u_6,4.0,"Silence of the Lambs, The",55207,Crime|Horror|Thriller
u_6,5.0,Beauty and the Beast,102853,Animation|Children|Fantasy|Musical|Romance|IMAX
u_6,5.0,Beauty and the Beast,76626,Animation|Children|Fantasy|Musical|Romance|IMAX
u_6,5.0,Beauty and the Beast,50408,Animation|Children|Fantasy|Musical|Romance|IMAX
u_6,5.0,Beauty and the Beast,21410,Animation|Children|Fantasy|Musical|Romance|IMAX
u_6,5.0,Beauty and the Beast,648,Animation|Children|Fantasy|Musical|Romance|IMAX
u_6,5.0,Independence Day (a.k.a. ID4),120880,Action|Adventure|Sci-Fi|Thriller
